figure_id,title,tier,claim_supported,source_table,png_path,pdf_path
A015,farm_c::asset_12 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A015_farm_c_asset_12_daily_activity.png,paper_visuals_3l\figures_pdf\A015_farm_c_asset_12_daily_activity.pdf
A016,farm_c::asset_13 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A016_farm_c_asset_13_daily_activity.png,paper_visuals_3l\figures_pdf\A016_farm_c_asset_13_daily_activity.pdf
A017,farm_c::asset_14 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A017_farm_c_asset_14_daily_activity.png,paper_visuals_3l\figures_pdf\A017_farm_c_asset_14_daily_activity.pdf
A018,farm_c::asset_15 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A018_farm_c_asset_15_daily_activity.png,paper_visuals_3l\figures_pdf\A018_farm_c_asset_15_daily_activity.pdf
A019,farm_c::asset_16 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A019_farm_c_asset_16_daily_activity.png,paper_visuals_3l\figures_pdf\A019_farm_c_asset_16_daily_activity.pdf
A020,farm_c::asset_2 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A020_farm_c_asset_2_daily_activity.png,paper_visuals_3l\figures_pdf\A020_farm_c_asset_2_daily_activity.pdf
A021,farm_c::asset_21 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A021_farm_c_asset_21_daily_activity.png,paper_visuals_3l\figures_pdf\A021_farm_c_asset_21_daily_activity.pdf
A022,farm_c::asset_23 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A022_farm_c_asset_23_daily_activity.png,paper_visuals_3l\figures_pdf\A022_farm_c_asset_23_daily_activity.pdf
A023,farm_c::asset_32 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A023_farm_c_asset_32_daily_activity.png,paper_visuals_3l\figures_pdf\A023_farm_c_asset_32_daily_activity.pdf
A024,farm_c::asset_33 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A024_farm_c_asset_33_daily_activity.png,paper_visuals_3l\figures_pdf\A024_farm_c_asset_33_daily_activity.pdf
A025,farm_c::asset_34 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A025_farm_c_asset_34_daily_activity.png,paper_visuals_3l\figures_pdf\A025_farm_c_asset_34_daily_activity.pdf
A026,farm_c::asset_35 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A026_farm_c_asset_35_daily_activity.png,paper_visuals_3l\figures_pdf\A026_farm_c_asset_35_daily_activity.pdf
A027,farm_c::asset_38 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A027_farm_c_asset_38_daily_activity.png,paper_visuals_3l\figures_pdf\A027_farm_c_asset_38_daily_activity.pdf
A028,farm_c::asset_42 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A028_farm_c_asset_42_daily_activity.png,paper_visuals_3l\figures_pdf\A028_farm_c_asset_42_daily_activity.pdf
A029,farm_c::asset_43 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A029_farm_c_asset_43_daily_activity.png,paper_visuals_3l\figures_pdf\A029_farm_c_asset_43_daily_activity.pdf
A030,farm_c::asset_44 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A030_farm_c_asset_44_daily_activity.png,paper_visuals_3l\figures_pdf\A030_farm_c_asset_44_daily_activity.pdf
A031,farm_c::asset_5 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A031_farm_c_asset_5_daily_activity.png,paper_visuals_3l\figures_pdf\A031_farm_c_asset_5_daily_activity.pdf
A032,farm_c::asset_50 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A032_farm_c_asset_50_daily_activity.png,paper_visuals_3l\figures_pdf\A032_farm_c_asset_50_daily_activity.pdf
A033,farm_c::asset_52 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A033_farm_c_asset_52_daily_activity.png,paper_visuals_3l\figures_pdf\A033_farm_c_asset_52_daily_activity.pdf
A034,farm_c::asset_53 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A034_farm_c_asset_53_daily_activity.png,paper_visuals_3l\figures_pdf\A034_farm_c_asset_53_daily_activity.pdf
A035,farm_c::asset_55 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A035_farm_c_asset_55_daily_activity.png,paper_visuals_3l\figures_pdf\A035_farm_c_asset_55_daily_activity.pdf
A036,farm_c::asset_56 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A036_farm_c_asset_56_daily_activity.png,paper_visuals_3l\figures_pdf\A036_farm_c_asset_56_daily_activity.pdf
